Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,RE-AVD-Leaf1B,Ethernet6,mlag_peer,RE-AVD-Leaf1A,Ethernet6,True
l3leaf,RE-AVD-Leaf1B,Ethernet7,l2leaf,RE-AVD-L2Leaf1A,Ethernet2,True
l3leaf,RE-AVD-Leaf1B,Ethernet8,l2leaf,RE-AVD-L2Leaf1B,Ethernet2,True
l3leaf,RE-AVD-Leaf2A,Ethernet1,spine,RE-AVD-Spine1,Ethernet3,True
l3leaf,RE-AVD-Leaf2A,Ethernet2,spine,RE-AVD-Spine2,Ethernet3,True
l3leaf,RE-AVD-Leaf2A,Ethernet3,spine,RE-AVD-Spine3,Ethernet3,True
l3leaf,RE-AVD-Leaf2A,Ethernet4,spine,RE-AVD-Spine4,Ethernet3,True
l3leaf,RE-AVD-Leaf2A,Ethernet5,mlag_peer,RE-AVD-Leaf2B,Ethernet5,True
l3leaf,RE-AVD-Leaf2A,Ethernet6,mlag_peer,RE-AVD-Leaf2B,Ethernet6,True
l3leaf,RE-AVD-Leaf2A,Ethernet7,l2leaf,RE-AVD-L2Leaf2A,Ethernet1,True
l3leaf,RE-AVD-Leaf2A,Ethernet8,l2leaf,RE-AVD-L2Leaf2B,Ethernet1,True
l3leaf,RE-AVD-Leaf2B,Ethernet1,spine,RE-AVD-Spine1,Ethernet4,True
l3leaf,RE-AVD-Leaf2B,Ethernet2,spine,RE-AVD-Spine2,Ethernet4,True
l3leaf,RE-AVD-Leaf2B,Ethernet3,spine,RE-AVD-Spine3,Ethernet4,True
l3leaf,RE-AVD-Leaf2B,Ethernet4,spine,RE-AVD-Spine4,Ethernet4,True
l3leaf,RE-AVD-Leaf2B,Ethernet5,mlag_peer,RE-AVD-Leaf2A,Ethernet5,True
l3leaf,RE-AVD-Leaf2B,Ethernet6,mlag_peer,RE-AVD-Leaf2A,Ethernet6,True
l3leaf,RE-AVD-Leaf2B,Ethernet7,l2leaf,RE-AVD-L2Leaf2A,Ethernet2,True
l3leaf,RE-AVD-Leaf2B,Ethernet8,l2leaf,RE-AVD-L2Leaf2B,Ethernet2,True
spine,RE-AVD-Spine1,Ethernet1,l3leaf,RE-AVD-Leaf1A,Ethernet1,True
spine,RE-AVD-Spine1,Ethernet2,l3leaf,RE-AVD-Leaf1B,Ethernet1,True
spine,RE-AVD-Spine1,Ethernet3,l3leaf,RE-AVD-Leaf2A,Ethernet1,True
spine,RE-AVD-Spine1,Ethernet4,l3leaf,RE-AVD-Leaf2B,Ethernet1,True
spine,RE-AVD-Spine1,Ethernet5,l3leaf,RE-AVD-BrdrLeaf1A,Ethernet1,True
spine,RE-AVD-Spine1,Ethernet6,l3leaf,RE-AVD-BrdrLeaf1B,Ethernet1,True
spine,RE-AVD-Spine2,Ethernet1,l3leaf,RE-AVD-Leaf1A,Ethernet2,True
spine,RE-AVD-Spine2,Ethernet2,l3leaf,RE-AVD-Leaf1B,Ethernet2,True
spine,RE-AVD-Spine2,Ethernet3,l3leaf,RE-AVD-Leaf2A,Ethernet2,True
spine,RE-AVD-Spine2,Ethernet4,l3leaf,RE-AVD-Leaf2B,Ethernet2,True
spine,RE-AVD-Spine2,Ethernet5,l3leaf,RE-AVD-BrdrLeaf1A,Ethernet2,True
