Ethernet13/2,dfwpasvr056,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet13/3,dfwpasvr051,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet13/4,dfwpasvr052,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet14/1,dfwpasvr059,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet14/2,dfwpasvr060,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet15/1,dfwpasvr055,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet15/2,dfwpasvr056,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet15/3,dfwpasvr051,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet15/4,dfwpasvr052,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet16/1,dfwpasvr059,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet16/2,dfwpasvr060,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet17/1,dfwpasvr047,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet17/2,dfwpasvr048,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet17/3,dfwpasvr043,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet17/4,dfwpasvr044,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet18/1,dfwpasvr067,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet18/2,dfwpasvr068,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet18/3,dfwpasvr063,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet18/4,dfwpasvr064,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet19/1,dfwpasvr047,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet19/2,dfwpasvr048,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet19/3,dfwpasvr043,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet19/4,dfwpasvr044,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet20/1,dfwpasvr067,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet20/2,dfwpasvr068,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet20/3,dfwpasvr063,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet20/4,dfwpasvr064,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet21/1,dfwpasvr039,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet21/2,dfwpasvr040,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet22/1,dfwpasvr075,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet22/2,dfwpasvr076,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet22/3,dfwpasvr071,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet22/4,dfwpasvr072,eth2,eth4,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet23/1,dfwpasvr039,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet23/2,dfwpasvr040,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet24/1,dfwpasvr075,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet24/2,dfwpasvr076,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet24/3,dfwpasvr071,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
Ethernet24/4,dfwpasvr072,eth3,eth5,nutanix,AMusaDFW01Esw311-nxtor,AMusaDFW01Esw312-nxtor
